id,City_Name,State_code,Population,Density_People_Per_Acre,Population_Growth_Compare_2000,Adjusted_Land_Area,Total_Acres_Park_Area,Total_Park_Units,Acres_per_thousand_people,Parks_per_ten_thousand_residents,Parks_Percent_City_Area,Walkable_access_All,Walkable_Access_Black,Hispanic,Asian,Other_race,Multiple_races,Pacific_Islander,Native_American,All_People_of_color,White,Walkability_Low_Income,Middle_Income,High_Income,Trail_Miles_per_hundred_thousand_residents,Total_spending_per_capita,city_latitudecity_longitude,,,,
86,Scottsdale,AZ,246001,2.1,0.21,117587,31598,44,128.4,1.8,0.27,0.4,0.49,0.51,0.39,0.41,0.42,0.55,0.39,0.47,0.38,0.49,0.49,0.38,232,185,33.4942,-111.9261,,,
87,Seattle,WA,761152,14.4,0.35,52810,6480,501,8.5,6.6,0.12,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.99,115,321,47.6062,-122.3321,,,
88,Spokane,WA,233034,5.7,0.19,40957,3670,106,15.7,4.5,0.09,0.85,0.86,0.87,0.8,0.84,0.87,0.9,0.8,0.86,0.85,0.88,0.88,0.81,2,193,47.6588,-117.426,,,
89,St. Louis,MO,297651,7.6,-0.15,38968,3889,112,13.1,3.8,0.1,0.97,0.97,0.97,0.96,0.98,0.97,0.98,0.96,0.97,0.98,0.97,0.97,0.98,2,115,38.627,-90.1994,,,
90,St. Paul,MN,314825,9.7,0.1,32338,4973,191,15.8,6.1,0.15,0.99,0.99,0.99,0.99,1,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,4,202,44.9537,-93.0899,,,
91,St. Petersburg,FL,259920,6.6,0.05,39410,5343,208,20.6,8,0.14,0.77,0.87,0.74,0.67,0.78,0.78,0.8,0.67,0.81,0.74,0.79,0.76,0.74,8,190,27.7676,-82.6403,,,
92,Stockton,CA,323593,8.2,0.33,39378,1199,67,3.7,2.1,0.03,0.76,0.79,0.76,0.75,0.77,0.75,0.77,0.75,0.76,0.75,0.78,0.75,0.74,1,41,37.9577,-121.2908,,,
93,Tampa,FL,392284,5.6,0.29,70143,5045,203,12.9,5.2,0.07,0.65,0.65,0.67,0.4,0.57,0.65,0.68,0.4,0.63,0.67,0.67,0.67,0.67,8,154,27.9506,-82.4572,,,
94,Toledo,OH,268744,5.3,-0.14,51038,2995,135,11.1,5,0.06,0.82,0.89,0.86,0.82,0.83,0.82,0.92,0.82,0.87,0.78,0.85,0.8,0.78,11,152,41.6528,-83.5379,,,
95,Tucson,AZ,548705,3.6,0.13,153087,6195,162,11.3,3,0.04,0.64,0.62,0.65,0.65,0.66,0.63,0.62,0.65,0.65,0.62,0.69,0.64,0.6,4,65,32.2226,-110.9747,,,
96,Tulsa,OK,419459,3.4,0.07,124821,8580,139,20.5,3.3,0.07,0.65,0.71,0.68,0.55,0.64,0.65,0.79,0.55,0.67,0.61,0.69,0.66,0.59,65,81,36.154,-95.9928,,,
97,Virginia Beach,VA,464214,3,0.09,156555,25993,303,56,6.5,0.17,0.68,0.71,0.67,0.7,0.68,0.69,0.66,0.7,0.7,0.67,0.7,0.69,0.69,46,144,36.8529,-75.978,,,
98,Washington,DC,706367,18.1,0.23,39004,9296,501,13.2,7.1,0.24,0.99,0.98,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,29,209,38.8951,-77.0364,,,
99,Wichita,KS,399769,3.9,0.16,101231,4327,129,10.8,3.2,0.04,0.52,0.63,0.63,0.41,0.54,0.52,0.6,0.41,0.59,0.48,0.64,0.56,0.44,14,93,37.6872,-97.3301,,,
100,Winston-Salem,NC,253749,3,0.37,85067,3797,88,15,3.5,0.04,0.37,0.46,0.38,0.27,0.36,0.35,0.5,0.27,0.42,0.31,0.46,0.36,0.31,3,63,36.0999,-80.2442,,,
