id,city,state,location,year,city_latitude,city_longitude,report_link
2459,Pilot Mountain,NC,"Pilot Mountain, NC",2019,36.4151,-80.4773,http://www.nuforc.org/webreports/146/S146616.html
2460,Fort Myers,FL,"Fort Myers, FL",2019,26.58139708890648,-81.84065302911138,http://www.nuforc.org/webreports/146/S146608.html
2461,Millersville,PA,"Millersville, PA",2019,39.98109999999998,-76.37840000000004,http://www.nuforc.org/webreports/146/S146607.html
2462,Bristow,VA,"Bristow, VA",2019,38.740499999999905,-77.56209999999973,http://www.nuforc.org/webreports/146/S146654.html
2463,Miami,FL,"Miami, FL",2019,25.774142713507455,-80.28951850011364,http://www.nuforc.org/webreports/146/S146622.html
2464,Barrington,IL,"Barrington, IL",2019,42.15840000000009,-88.1591999999998,http://www.nuforc.org/webreports/146/S146656.html
2465,Lincoln,NE,"Lincoln, NE",2019,40.800914541832874,-96.67416752988026,http://www.nuforc.org/webreports/146/S146621.html
2466,Raleigh,NC,"Raleigh, NC",2019,35.81800885085544,-78.64441853300764,http://www.nuforc.org/webreports/146/S146617.html
2467,Williston,FL,"Williston, FL",2019,29.399200000000004,-82.44550000000001,http://www.nuforc.org/webreports/146/S146646.html
2468,Leavenworth,KS,"Leavenworth, KS",2019,39.3013940298507,-94.97446119402996,http://www.nuforc.org/webreports/146/S146666.html
2469,San Jose,CA,"San Jose, CA",2019,37.33884202188921,-121.88970568835909,http://www.nuforc.org/webreports/146/S146642.html
2470,Houghton,MI,"Houghton, MI",2019,47.154399999999946,-88.64710000000004,http://www.nuforc.org/webreports/146/S146667.html
2471,Gillette,WY,"Gillette, WY",2019,44.34486315789482,-105.6222100478468,http://www.nuforc.org/webreports/146/S146657.html
2472,West Hills,CA,"West Hills, CA",2019,34.20296428571428,-118.68875714285711,http://www.nuforc.org/webreports/146/S146665.html
2473,Artesia,NM,"Artesia, NM",2019,32.748399999999975,-104.43589999999996,http://www.nuforc.org/webreports/146/S146664.html
2474,New Brunswick,NJ,"New Brunswick, NJ",2019,40.48366240601505,-74.44371729323296,http://www.nuforc.org/webreports/146/S146669.html
2475,Roseville,MN,"Roseville, MN",2019,45.0061,-93.1566,http://www.nuforc.org/webreports/146/S146662.html
2481,Calgary,AB,"Calgary, AB",2019,51.04237871352795,-114.05744246242244,http://www.nuforc.org/webreports/145/S145819.html
2482,Austin,TX,"Austin, TX",2019,30.308469443732346,-97.76011171494544,http://www.nuforc.org/webreports/145/S145740.html
2483,San Diego,CA,"San Diego, CA",2019,32.78722907702912,-117.14026773074518,http://www.nuforc.org/webreports/145/S145855.html
2484,Old Town,FL,"Old Town, FL",2019,29.5688,-82.9886,http://www.nuforc.org/webreports/145/S145843.html
2485,Navasota,TX,"Navasota, TX",2019,30.370600000000007,-96.0565,http://www.nuforc.org/webreports/145/S145816.html
2486,Portsmouth,VA,"Portsmouth, VA",2019,36.83548986175126,-76.35074423963137,http://www.nuforc.org/webreports/145/S145734.html
2487,Chicago,IL,"Chicago, IL",2019,41.87991241592284,-87.66801795521151,http://www.nuforc.org/webreports/145/S145752.html
2488,Minneapolis,MN,"Minneapolis, MN",2019,44.980783344228506,-93.2933078783923,http://www.nuforc.org/webreports/145/S145733.html
2489,Sylvan Lake,AB,"Sylvan Lake, AB",2019,52.31680000000003,-114.08530000000005,http://www.nuforc.org/webreports/145/S145748.html
